,lat,lon,pred,std
260,50.75,6.2500005,6.095092,2.6114929
261,50.75,6.75,5.9739504,2.6157613
262,50.75,7.25,5.871501,2.6235864
263,50.75,7.75,5.783646,2.6369274
264,51.25,-9.75,8.518539,2.6623847
265,51.25,-4.25,8.018826,2.6096992
266,51.25,-3.75,7.9019284,2.6081853
267,51.25,-3.25,7.794552,2.6075807
268,51.25,-2.75,7.7073994,2.607477
269,51.25,-2.25,7.6420283,2.6075509
270,51.25,-1.7500001,7.5974007,2.607587
271,51.25,-1.25,7.5723987,2.6075003
272,51.25,-0.75,7.566004,2.607357
273,51.25,-0.25,7.576249,2.6072876
274,51.25,0.25,7.59638,2.6074252
275,51.25,0.74999994,7.61335,2.6078818
276,51.25,1.25,7.609788,2.6086776
277,51.25,2.25,7.5042286,2.6102898
278,51.25,2.75,7.401988,2.610523
279,51.25,3.25,7.2718267,2.6102276
280,51.25,3.75,7.1184688,2.6095555
281,51.25,4.25,6.9480276,2.6088345
282,51.25,4.75,6.770656,2.6083739
283,51.25,5.25,6.597207,2.6084003
284,51.25,5.75,6.4355817,2.6091697
285,51.25,6.2500005,6.2897806,2.6111572
286,51.25,6.75,6.1599755,2.6152828
287,51.25,7.25,6.043296,2.6230633
288,51.25,7.75,5.9396644,2.6364505
289,51.75,-10.25,8.376364,2.6576588
290,51.75,-9.75,8.256012,2.6405313
291,51.75,-9.25,8.15012,2.6305296
292,51.75,-8.75,8.065957,2.6252577
293,51.75,-8.25,8.008179,2.622736
294,51.75,-7.75,7.9779935,2.6215994
295,51.75,-5.25,7.9354615,2.612686
296,51.75,-4.75,7.852952,2.6100984
297,51.75,-4.25,7.738406,2.6083083
298,51.75,-3.75,7.6120896,2.6074324
299,51.75,-3.25,7.499193,2.6072469
300,51.75,-2.75,7.414008,2.6074135
301,51.75,-2.25,7.3557053,2.607663
302,51.75,-1.7500001,7.321,2.6077943
303,51.75,-1.25,7.311295,2.6076972
304,51.75,-0.75,7.32818,2.6075342
305,51.75,-0.25,7.3689623,2.60756
306,51.75,0.25,7.423695,2.6080146
307,51.75,0.74999994,7.477943,2.6090527
308,51.75,1.25,7.5147123,2.6106935
309,51.75,3.75,7.200692,2.6136382
310,51.75,4.25,7.0530534,2.612047
311,51.75,4.75,6.892716,2.6107144
312,51.75,5.25,6.7306542,2.6100214
313,51.75,5.75,6.5751762,2.6102521
314,51.75,6.2500005,6.430353,2.6118722
315,51.75,6.75,6.297302,2.6157782
316,51.75,7.25,6.1747427,2.6234791
317,51.75,7.75,6.062521,2.6369457
318,52.25,-10.25,8.158521,2.64392
319,52.25,-9.75,8.015564,2.628374
320,52.25,-9.25,7.885644,2.6196434
321,52.25,-8.75,7.778721,2.6153355
322,52.25,-8.25,7.7032285,2.6135619
323,52.25,-7.75,7.664158,2.613085
324,52.25,-7.25,7.6599655,2.61311
325,52.25,-6.75,7.6798577,2.6130984
326,52.25,-6.2500005,7.7040486,2.6127188
327,52.25,-5.25,7.6793594,2.6102495
328,52.25,-4.75,7.6029854,2.6086943
329,52.25,-4.25,7.4870434,2.6076388
330,52.25,-3.75,7.3567066,2.6072524
331,52.25,-3.25,7.241828,2.607369
332,52.25,-2.75,7.1571307,2.6077127
333,52.25,-2.25,7.1020036,2.6080418
334,52.25,-1.7500001,7.074238,2.6082284
335,52.25,-1.25,7.075613,2.6081963
336,52.25,-0.75,7.1083097,2.608166
337,52.25,-0.25,7.1684837,2.6085086
338,52.25,0.25,7.2453547,2.609539
339,52.25,0.74999994,7.3247886,2.611423
340,52.25,1.25,7.3910227,2.614129
341,52.25,1.75,7.4293876,2.6173356
342,52.25,4.25,7.099406,2.617843
343,52.25,4.75,6.955672,2.61542
344,52.25,5.25,6.8036995,2.613761
345,52.25,5.75,6.6527123,2.6132467
346,52.25,6.2500005,6.5091257,2.6143558
347,52.25,6.75,6.375682,2.6179829
348,52.25,7.25,6.251987,2.6256235
349,52.25,7.75,6.1359982,2.6392705
